id,party,department,kind,kind_department_seat,name,constituency
u10,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,Uninominal,07,Danny Daniel Rojas Montes De Oca,C-57
u11,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,Uninominal,08,Vicente Condori Rodríguez,C-56
u12,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,Uninominal,09,Hernán Hinojosa Rojas,C-55
u13,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,Uninominal,10,Tania Rosmery Paniagua Mafaile,C-53
u14,CREEMOS ,Santa Cruz,Uninominal,11,Runy Elvio Callau Monasterio,C-51
u15,CREEMOS ,Santa Cruz,Uninominal,12,Oscar Charles Michel Flores,C-50
u16,CREEMOS ,Santa Cruz,Uninominal,13,Omar Jesús Rueda Gutiérrez,C-48
u17,CREEMOS ,Santa Cruz,Uninominal,14,Rosa Tatiana Añez Carrasco,C-47
u18,CREEMOS ,Santa Cruz,Uninominal,15,Alba Moira Osinaga Rivero,C-46
u19,CREEMOS ,Santa Cruz,Uninominal,16,José Carlos Gutiérrez Vargas,C-45
u20,CREEMOS ,Santa Cruz,Uninominal,17,Walthy Mauricio Egüez Paz,C-44
p09,CC (Comunidad Ciudadana) ,Santa Cruz,Plurinominal,18,Aldo Raúl Terrazas Rivero,
p10,CC (Comunidad Ciudadana) ,Santa Cruz,Plurinominal,19,Senaida Rojas Banegas,
p11,CC (Comunidad Ciudadana) ,Santa Cruz,Plurinominal,20,Daniel Prieto Tomelitch,
p12,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,Plurinominal,21,Anyelo Gerardo Céspedes Miranda,
p13,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,Plurinominal,22,Alina Canaviri Sullcani,
p14,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,Plurinominal,23,Estefanía Morales Laura,
p15,CREEMOS ,Santa Cruz,Plurinominal,24,Tito Caero Vargas,
p16,CREEMOS ,Santa Cruz,Plurinominal,25,María Khaline Moreno Cárdenas,
p17,CREEMOS ,Santa Cruz,Plurinominal,26,Erwin Bazán Gutiérrez,
p18,CREEMOS ,Santa Cruz,Plurinominal,27,Marioly A. Daisy Morón Osinaga,
e03,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,Especial,28,Elsa Sánchez Romero,
u26,CC (Comunidad Ciudadana) ,Tarija,Uninominal,01,Edwin Rosas Urzagaste,C-40
p24,MAS IPSP (Movimiento Al Socialismo),Tarija,Plurinominal,02,Alexsandra Zenteno Cardozo,
u27,MAS IPSP (Movimiento Al Socialismo),Tarija,Uninominal,03,Delfor Germán Burgos Aguirre,C-42
u28,MAS IPSP (Movimiento Al Socialismo),Tarija,Uninominal,04,Lidia Tupa Zelaya,C-43
u29,CC (Comunidad Ciudadana) ,Tarija,Uninominal,05,Mariela Baldivieso Castillo,C-41
p25,CC (Comunidad Ciudadana) ,Tarija,Plurinominal,06,José Luis Porcel Marquina,
p26,CC (Comunidad Ciudadana) ,Tarija,Plurinominal,07,María Elena Ortega,
e04,MAS IPSP (Movimiento Al Socialismo),Tarija,Especial,08,Darlen Isabel Velasco Torrez,
p27,MAS IPSP (Movimiento Al Socialismo),Tarija,Plurinominal,09,Juan José Huanca Mamani,
